,date,DEVICE,OS,IS_LOGGEDIN,videos_regardes_sup90,videos_contenu_sup90,total_videos_vues,total_vues_loguees
0,2024-06-16,Desktop,Android,0,1,1,1,0
1,2024-06-16,Desktop,Chrome OS,0,1,1,1,0
2,2024-06-16,Desktop,Chrome OS,1,1,1,1,1
3,2024-06-16,Desktop,Linux,0,2,4,4,0
4,2024-06-16,Desktop,Linux,1,1,1,1,1
5,2024-06-16,Desktop,Windows,0,33,71,72,0
6,2024-06-16,Desktop,Windows,1,15,26,30,30
7,2024-06-16,Desktop,macOS,0,7,15,16,0
8,2024-06-16,Desktop,macOS,1,6,11,12,12
9,2024-06-16,Mobile Phone,Android,0,208,494,516,0
10,2024-06-16,Mobile Phone,Android,1,51,77,98,98
11,2024-06-16,Mobile Phone,iOS,0,80,202,211,0
12,2024-06-16,Mobile Phone,iOS,1,38,68,79,79
13,2024-06-16,TABLETTE,Android,1,1,1,1,1
14,2024-06-16,Tablet,Android,0,14,39,44,0
15,2024-06-16,Tablet,Android,1,14,23,30,30
16,2024-06-16,Tablet,iOS,0,6,13,13,0
17,2024-06-16,Tablet,iOS,1,17,35,40,40
18,2024-06-16,Tablet,iPadOS,0,12,21,21,0
19,2024-06-16,smart-tv,allwinner,1,0,1,1,1
20,2024-06-16,smart-tv,amazon,0,3,48,115,0
21,2024-06-16,smart-tv,amazon,1,1,55,185,185
22,2024-06-16,smart-tv,apple,0,14,67,130,0
23,2024-06-16,smart-tv,apple,1,18,14,83,83
24,2024-06-16,smart-tv,arcelik,0,0,1,1,0
25,2024-06-16,smart-tv,askey,0,0,1,2,0
26,2024-06-16,smart-tv,askey,1,0,3,6,6
27,2024-06-16,smart-tv,atvse,0,0,1,1,0
28,2024-06-16,smart-tv,changhong,0,0,5,9,0
29,2024-06-16,smart-tv,changhong,1,2,4,12,12
30,2024-06-16,smart-tv,chengdu,0,0,1,3,0
31,2024-06-16,smart-tv,chengdu,1,0,1,4,4
32,2024-06-16,smart-tv,cvt,1,0,1,1,1
33,2024-06-16,smart-tv,droidlogic,1,1,0,1,1
34,2024-06-16,smart-tv,expressluck,0,1,5,12,0
35,2024-06-16,smart-tv,expressluck,1,2,11,25,25
36,2024-06-16,smart-tv,fengmi,1,1,0,3,3
37,2024-06-16,smart-tv,formuler,0,0,0,1,0
38,2024-06-16,smart-tv,google,0,8,36,82,0
39,2024-06-16,smart-tv,google,1,21,60,166,166
40,2024-06-16,smart-tv,hisense,0,0,27,46,0
41,2024-06-16,smart-tv,hisense,1,6,33,87,87
42,2024-06-16,smart-tv,hkc,0,0,0,1,0
43,2024-06-16,smart-tv,jiuzhou,0,0,0,2,0
44,2024-06-16,smart-tv,jiuzhou,1,0,0,1,1
45,2024-06-16,smart-tv,konka,0,0,0,2,0
46,2024-06-16,smart-tv,konka,1,0,3,4,4
47,2024-06-16,smart-tv,ktc,1,1,0,2,2
48,2024-06-16,smart-tv,lg,0,2,24,53,0
49,2024-06-16,smart-tv,lg,1,5,38,97,97
50,2024-06-16,smart-tv,mbox,0,0,1,1,0
51,2024-06-16,smart-tv,mediatek,0,0,0,1,0
52,2024-06-16,smart-tv,mediatek,1,1,1,2,2
53,2024-06-16,smart-tv,mtc,0,0,0,2,0
54,2024-06-16,smart-tv,mtc,1,0,6,14,14
55,2024-06-16,smart-tv,mtk,1,0,0,1,1
56,2024-06-16,smart-tv,my,0,1,5,10,0
57,2024-06-16,smart-tv,my,1,4,12,25,25
58,2024-06-16,smart-tv,nvidia,0,1,0,2,0
59,2024-06-16,smart-tv,nvidia,1,3,5,17,17
60,2024-06-16,smart-tv,other,1,0,3,5,5
61,2024-06-16,smart-tv,philips,0,0,1,5,0
62,2024-06-16,smart-tv,philips,1,0,8,22,22
63,2024-06-16,smart-tv,samsung,0,23,88,196,0
64,2024-06-16,smart-tv,samsung,1,49,106,309,309
65,2024-06-16,smart-tv,scbc,1,0,1,6,6
66,2024-06-16,smart-tv,sdmc,0,0,1,3,0
67,2024-06-16,smart-tv,sdmc,1,0,1,3,3
68,2024-06-16,smart-tv,sei,0,0,1,2,0
69,2024-06-16,smart-tv,sei,1,1,0,5,5
70,2024-06-16,smart-tv,sharp,0,0,2,4,0
71,2024-06-16,smart-tv,sharp,1,0,0,1,1
72,2024-06-16,smart-tv,skyworthdigital,0,0,0,3,0
73,2024-06-16,smart-tv,skyworthdigital,1,2,3,8,8
74,2024-06-16,smart-tv,smartphone,1,0,1,2,2
75,2024-06-16,smart-tv,sony,0,0,3,9,0
76,2024-06-16,smart-tv,sony,1,7,13,47,47
77,2024-06-16,smart-tv,tcl,0,8,27,75,0
78,2024-06-16,smart-tv,tcl,1,14,48,153,153
79,2024-06-16,smart-tv,tpv,0,1,3,15,0
80,2024-06-16,smart-tv,tpv,1,1,9,22,22
81,2024-06-16,smart-tv,vestel,0,0,1,1,0
82,2024-06-16,smart-tv,vestel,1,1,5,13,13
83,2024-06-16,smart-tv,xgimi,0,0,0,1,0
84,2024-06-16,smart-tv,xgimi,1,1,1,5,5
85,2024-06-16,smart-tv,xiaomi,0,4,20,52,0
86,2024-06-16,smart-tv,xiaomi,1,12,25,78,78
87,2024-06-17,DESKTOP,Android,0,0,1,1,0
88,2024-06-17,Desktop,Android,1,0,2,2,2
89,2024-06-17,Desktop,Chrome OS,0,1,3,3,0
90,2024-06-17,Desktop,Linux,0,2,5,5,0
91,2024-06-17,Desktop,Windows,0,32,66,67,0
92,2024-06-17,Desktop,Windows,1,15,29,30,30
93,2024-06-17,Desktop,macOS,0,5,20,21,0
94,2024-06-17,Desktop,macOS,1,2,5,6,6
95,2024-06-17,Mobile Phone,Android,0,202,453,515,0
96,2024-06-17,Mobile Phone,Android,1,61,113,136,136
97,2024-06-17,Mobile Phone,iOS,0,116,227,241,0
98,2024-06-17,Mobile Phone,iOS,1,32,71,81,81
99,2024-06-17,Set Top Box,Android,0,1,1,1,0
100,2024-06-17,Set Top Box,Android,1,2,2,2,2
101,2024-06-17,TABLETTE,Android,1,1,1,1,1
102,2024-06-17,Tablet,Android,0,16,35,39,0
103,2024-06-17,Tablet,Android,1,14,27,40,40
104,2024-06-17,Tablet,iOS,0,7,9,14,0
105,2024-06-17,Tablet,iOS,1,14,35,36,36
106,2024-06-17,Tablet,iPadOS,0,8,13,13,0
107,2024-06-17,smart-tv,,0,1,1,4,0
108,2024-06-17,smart-tv,Android,1,0,0,1,1
109,2024-06-17,smart-tv,amazon,0,0,35,97,0
110,2024-06-17,smart-tv,amazon,1,0,43,170,170
111,2024-06-17,smart-tv,apple,0,5,32,96,0
112,2024-06-17,smart-tv,apple,1,10,16,69,69
113,2024-06-17,smart-tv,arris,1,0,1,1,1
114,2024-06-17,smart-tv,askey,1,1,4,7,7
115,2024-06-17,smart-tv,changhong,0,1,1,3,0
116,2024-06-17,smart-tv,changhong,1,0,4,12,12
117,2024-06-17,smart-tv,chengdu,0,1,0,3,0
118,2024-06-17,smart-tv,chengdu,1,0,2,6,6
119,2024-06-17,smart-tv,cvt,0,0,0,1,0
120,2024-06-17,smart-tv,droidlogic,1,0,0,1,1
121,2024-06-17,smart-tv,expressluck,0,0,3,14,0
122,2024-06-17,smart-tv,expressluck,1,2,7,19,19
123,2024-06-17,smart-tv,fengmi,0,0,1,6,0
124,2024-06-17,smart-tv,fengmi,1,0,0,2,2
125,2024-06-17,smart-tv,formuler,0,0,1,2,0
126,2024-06-17,smart-tv,google,0,4,24,73,0
127,2024-06-17,smart-tv,google,1,20,36,139,139
128,2024-06-17,smart-tv,haier,0,0,1,1,0
129,2024-06-17,smart-tv,haier,1,0,1,1,1
130,2024-06-17,smart-tv,hisense,0,0,18,44,0
131,2024-06-17,smart-tv,hisense,1,4,25,71,71
132,2024-06-17,smart-tv,hkc,0,0,0,1,0
133,2024-06-17,smart-tv,hkc,1,0,1,4,4
134,2024-06-17,smart-tv,inspur,1,0,0,1,1
135,2024-06-17,smart-tv,konka,0,0,0,2,0
136,2024-06-17,smart-tv,konka,1,1,0,5,5
137,2024-06-17,smart-tv,ktc,1,0,0,1,1
138,2024-06-17,smart-tv,lg,0,0,18,62,0
139,2024-06-17,smart-tv,lg,1,9,32,79,79
140,2024-06-17,smart-tv,m043,0,1,0,1,0
141,2024-06-17,smart-tv,m043,1,0,0,1,1
142,2024-06-17,smart-tv,mediatek,1,0,0,2,2
143,2024-06-17,smart-tv,mtc,0,0,1,3,0
144,2024-06-17,smart-tv,mtc,1,0,2,9,9
145,2024-06-17,smart-tv,my,0,2,3,10,0
146,2024-06-17,smart-tv,my,1,1,7,22,22
147,2024-06-17,smart-tv,nvidia,0,0,1,2,0
148,2024-06-17,smart-tv,nvidia,1,2,5,18,18
149,2024-06-17,smart-tv,other,0,0,1,5,0
150,2024-06-17,smart-tv,other,1,0,0,2,2
151,2024-06-17,smart-tv,panasonic,1,0,0,1,1
152,2024-06-17,smart-tv,philips,0,0,1,4,0
153,2024-06-17,smart-tv,philips,1,1,6,13,13
154,2024-06-17,smart-tv,realtek,0,0,0,1,0
155,2024-06-17,smart-tv,samsung,0,16,99,198,0
156,2024-06-17,smart-tv,samsung,1,30,92,276,276
157,2024-06-17,smart-tv,scbc,0,0,0,1,0
158,2024-06-17,smart-tv,scbc,1,1,2,8,8
159,2024-06-17,smart-tv,sdmc,1,0,1,4,4
160,2024-06-17,smart-tv,sei,0,1,0,2,0
161,2024-06-17,smart-tv,sei,1,0,1,3,3
162,2024-06-17,smart-tv,sharp,0,0,0,4,0
163,2024-06-17,smart-tv,sharp,1,1,1,6,6
